"TINWSYS_IS_NUMBER","WATER_SYSTEM_NUMBER","SYSTEM_NAME","REGULATING_AGENCY","COUNTY","FEDERAL_CLASSIFICATION_TYPE","SERVICE_CONNECTIONS","POPULATION","OWNER_TYPE","PL_ADDRESS","PL_ADDRESS_CITY_NAME","PL_ADDRESS_STATE_CODE","PL_ADDRESS_ZIP_CODE","LATITUDE_MEASURE","LONGITUDE_MEASURE","SERVICE_AREA_ECONOMIC_STATUS","MHI","CALENVIRO_SCREEN_SCORE","RISK_ASSESSMENT_RESULT","CURRENT_FAILING","FINAL_SAFER_STATUS","FAILING_START_DATE","PRIMARY_MCL_VIOLATION","PRIMARY_ANALYTES","SECONDARY_MCL_VIOLATION","SECONDARY_ANALYTES","E_COLI_VIOLATION","E_COLI_ANALYTES","TREATMENT_TECHNIQUE_VIOLATION","TT_ANALYTES","MONITORING_AND_REPORTING_VIOLATION","MONITORING_AND_REPORTING_ANALYTES","SOURCE_CAPACITY_VIOLATION","SOURCE_CAPACITY_ANALYTES","TOTAL_WEIGHTED_RISK_SCORE_BEFORE_DIVIDING_BY_CATEGORY_COUNT","WEIGHTED_WATER_QUALITY_SCORE","WATER_QUALITY_SCORE","WATER_QUALITY_PERCENTAGE_OF_TOTAL_RISK_SCORE","WATER_QUALITY_RISK_LEVEL","WEIGHTED_ACCESSIBILITY_SCORE","ACCESSIBILITY_SCORE","ACCESSIBILITY_PERCENTAGE_OF_TOTAL_RISK_SCORE","ASSESSIBILITY_RISK_LEVEL","WEIGHTED_AFFORDABILITY_SCORE","AFFORDABILITY_SCORE","AFFORDABILITY_PERCENTAGE_OF_TOTAL_RISK_SCORE","AFFORDABILITY_RISK_LEVEL","WEIGHTED_TMF_CAPACITY_SCORE","TMF_CAPACITY_SCORE","TMF_CAPACITY_PERCENTAGE_OF_TOTAL_RISK_SCORE","TMF_CAPACITY_RISK_LEVEL","HISTORY_OF_E_COLI_PRESENCE_RISK_LEVEL","HISTORY_OF_E_COLI_PRESENCE_THRESHOLD_MET","HISTORY_OF_E_COLI_PRESENCE_RAW_SCORE","HISTORY_OF_E_COLI_PRESENCE_WEIGHTED_SCORE","INCREASING_PRESENCE_OF_WATER_QUALITY_TRENDS_TOWARD_MCL_RISK_LEVEL","INCREASING_PRESENCE_OF_WATER_QUALITY_TRENDS_TOWARD_MCL_THRESHOLD_MET","INCREASING_PRESENCE_OF_WATER_QUALITY_TRENDS_TOWARD_MCL_RAW_SCORE","INCREASING_PRESENCE_OF_WATER_QUALITY_TRENDS_TOWARD_MCL_WEIGHTED_SCORE","TREATMENT_TECHNIUQE_VIOLATIONS_RISK_LEVEL","TREATMENT_TECHNIUQE_VIOLATIONS_THRESHOLD_MET","TREATMENT_TECHNIUQE_VIOLATIONS_RAW_SCORE","TREATMENT_TECHNIUQE_VIOLATIONS_WEIGHTED_SCORE","PAST_PRESENCE_ON_THE_FAILING_LIST_RISK_LEVEL","PAST_PRESENCE_ON_THE_FAILING_LIST_THRESHOLD_MET","PAST_PRESENCE_ON_THE_FAILING_LIST_RAW_SCORE","PAST_PRESENCE_ON_THE_FAILING_LIST_WEIGHTED_SCORE","CONSTITUENTS_OF_EMERGING_CONCERN_RISK_LEVEL","CONSTITUENTS_OF_EMERGING_CONCERN_THRESHOLD_MET","CONSTITUENTS_OF_EMERGING_CONCERN_RAW_SCORE","CONSTITUENTS_OF_EMERGING_CONCERN_WEIGHTED_SCORE","PERCENTAGE_OF_SOURCES_EXCEEDING_AN_MCL_RISK_LEVEL","PERCENTAGE_OF_SOURCES_EXCEEDING_AN_MCL_THRESHOLD_MET","PERCENTAGE_OF_SOURCES_EXCEEDING_AN_MCL_RAW_SCORE","PERCENTAGE_OF_SOURCES_EXCEEDING_AN_MCL_WEIGHTED_SCORE","NUMBER_OF_WATER_SOURCES_RISK_LEVEL","NUMBER_OF_WATER_SOURCES_THRESHOLD_MET","NUMBER_OF_WATER_SOURCES_RAW_SCORE","NUMBER_OF_WATER_SOURCES_WEIGHTED_RAW_SCORE","ABESENCE_OF_INTERTIES_RISK_LEVEL","ABESENCE_OF_INTERTIES_THRESHOLD_MET","ABESENCE_OF_INTERTIES_RAW_SCORE","ABESENCE_OF_INTERTIES_WEIGHTED_SCORE","SOURCE_CAPACITY_VIOLATION_RISK_LEVEL","SOURCE_CAPACITY_VIOLATIONS_THRESHOLD_MET","SOURCE_CAPACITY_VIOLATIONS_RAW_SCORE","SOURCE_CAPACITY_VIOLATIONS_WEIGHTED_SCORE","BOTTLED_WATER_OR_HAULED_WATER_RELIANCE_RISK_LEVEL","BOTTLED_WATER_OR_HAULED_WATER_RELIANCE_THRESHOLD_MET","BOTTLED_WATER_OR_HAULED_WATER_RELIANCE_RAW_SCORE","BOTTLED_WATER_OR_HAULED_WATER_RELIANCE_WEIGHTED_SCORE","DWR_DROUGHT_AND_WATER_SHORTAGE_RISK_ASSESSMENT_PERCENTILE_RISK_LEVEL","DWR_DROUGHT_AND_WATER_SHORTAGE_RISK_ASSESSMENT_PERCENTILE_THRESHOLD_MET","DWR_DROUGHT_AND_WATER_SHORTAGE_RISK_ASSESSMENT_PERCENTILE_RAW_SCORE","DWR_DROUGHT_AND_WATER_SHORTAGE_RISK_ASSESSMENT_PERCENTILE_WEIGHTED_SCORE","CRITICALLY_OVERDRAFTED_GROUNDWATER_BASIN_RISK_LEVEL","CRITICALLY_OVERDRAFTED_GROUNDWATER_BASIN_THRESHOLD_MET","CRITICALLY_OVERDRAFTED_GROUNDWATER_BASIN_RAW_SCORE","CRITICALLY_OVERDRAFTED_GROUNDWATER_BASIN_WEIGHTED_SCORE","PERCENT_OF_MEDIAN_HOUSEHOLD_INCOME_MHI_RISK_LEVEL","PERCENT_OF_MEDIAN_HOUSEHOLD_INCOME_MHI_THRESHOLD_MET","PERCENT_OF_MEDIAN_HOUSEHOLD_INCOME_MHI_RAW_SCORE","PERCENT_OF_MEDIAN_HOUSEHOLD_INCOME_MHI_WEIGHTED_SCORE","EXTREME_WATER_BILL_RISK_LEVEL","EXTREME_WATER_BILL_THRESHOLD_MET","EXTREME_WATER_BILL_RAW_SCORE","EXTREME_WATER_BILL_WEIGHTED_SCORE","HOUSEHOLD_SOCIOECONOMIC_BURDEN_RISK_LEVEL","HOUSEHOLD_SOCIOECONOMIC_BURDEN_THRESHOLD_MET","HOUSEHOLD_SOCIOECONOMIC_BURDEN_RAW_SCORE","HOUSEHOLD_SOCIOECONOMIC_BURDEN_WEIGHTED_SCORE","TOTAL_NET_ANNUAL_INCOME_RISK_LEVEL","TOTAL_NET_ANNUAL_INCOME_THRESHOLD_MET","TOTAL_NET_ANNUAL_INCOME_RAW_SCORE","TOTAL_NET_ANNUAL_INCOME_WEIGHTED_SCORE","OPERATING_RATIO_RISK_LEVEL","OPERATING_RATIO_THRESHOLD_MET","OPERATING_RATIO_RAW_SCORE","OPERATING_RATIO_WEIGHTED_SCORE","DAYS_CASH_ON_HAND_RISK_LEVEL","DAYS_CASH_ON_HAND_THRESHOLD_MET","DAYS_CASH_ON_HAND_RAW_SCORE","DAYS_CASH_ON_HAND_WEIGHTED_SCORE","OPERATOR_CERTIFICATION_VIOLATIONS_RISK_LEVEL","OPERATOR_CERTIFICATION_VIOLATIONS_THRESHOLD_MET","OPERATOR_CERTIFICATION_VIOLATIONS_RAW_SCORE","OPERATOR_CERTIFICATION_VIOLATIONS_WEIGHTED_SCORE","MONITORING_AND_REPORTING_VIOLATIONS_RISK_LEVEL","MONITORING_AND_REPORTING_VIOLATIONS_THRESHOLD_MET","MONITORING_AND_REPORTING_VIOLATIONS_SCORE","MONITORING_AND_REPORTING_VIOLATIONS_WEIGHTED_SCORE","SIGNIFICANT_DEFICIENCIES_RISK_LEVEL","SIGNIFICANT_DEFICIENCIES_THRESHOLD_MET","SIGNIFICANT_DEFICIENCIES_RAW_SCORE","SIGNIFICANT_DEFICIENCIES_WEIGHTED_SCORE","FUNDING_RECEIVED_SINCE_2017","TECHNICAL_ASSISTANCE_FUNDING_SINCE_2017","LEGISTATIVE_DISTRICT","REGIONAL_BOARD","CREATED_DATE"
3398,"CA3010100","CITY OF LA PALMA","DISTRICT 08 - SANTA ANA","ORANGE","COMMUNITY",4368,15948,"LOCAL","7822 WALKER STREET","LA PALMA","CA","90623",33.851084,-118.052321,"Non-DAC","101959","23.3427736895465","Not At-Risk","Not Failing","Not At-Risk","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","1.00","0.00","0.00","0.00","NONE","0.00","0.00","0.00","NONE","0.00","0.00","0.00","NONE","1.00","0.50","1.00","MEDIUM","NONE","No history of E. coli presence over the last 3 years","0","0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","NONE","No violation over the last three years","0","0","NONE","No Failing list occurrence over the last 3 years","0.0","0.0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","NONE","Less than 50% sources exceed an MCL","0","0","NONE","2 or more sources","0","0","NONE","1 or more interties","0","0","NONE","No source capacity violations; and no Service Connection Moratoriums within the past 3 years","0","0","NONE","No occurrences of bottled/hauled water reliance within the last 3 years","0","0","Systems not assessed by DWR","Systems not assessed by DWR","Systems not assessed by DWR","Systems not assessed by DWR","NONE","No sources within a Critically Overdrafted Basin","0","0","NONE","Less than 1.5%","0","0.00","NONE","Below 150% of statewide average","0","0.00","NONE","Combined score of 0 - 0.125","0","0.00","HIGH","Less than $0","1","1.00","HIGH","Less than 1","1","1.00","HIGH","Less than 1","1","1.00","NONE","No Operator Certification violations over the last three years","0","0.0","NONE","Less than 2 violations","0","0.0","NONE","No Significant Deficiencies over the last three years","0","0.0",0.00,0.00,"State Senate District 32","Region 4 Los Angeles","2025-11-02"
3399,"CA3010101","SANTA MARGARITA WATER DISTRICT","DISTRICT 08 - SANTA ANA","ORANGE","COMMUNITY",56265,168289,"LOCAL","26111 Antonio Pkwy","RANCHO SANTA MARGARITA","CA","92688",33.558083,-117.584377,"Non-DAC","142117","7.43249076895108","Not Assessed","Not Failing","Not Assessed","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed",0.00,0.00,"State Senate District 36","Region 9 San Diego","2025-11-02"
3401,"CA3010120","SAN JUAN BASIN AUTHORITY","DISTRICT 08 - SANTA ANA","ORANGE","COMMUNITY",2,0,"LOCAL","32470 PASEO ADELANTO","SAN JUAN CAPISTRANO","CA","92675",33.492261,-117.665175,"Non-DAC","95549","21.9478115597563","Not Assessed","Not Failing","Not Assessed","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed",0.00,0.00,"State Senate District 36","Region 9 San Diego","2025-11-02"
7630,"CA3100011","AUBURN VALLEY COMMUNITY SERVICE DIS","LPA61 - PLACER COUNTY","PLACER","COMMUNITY",143,290,"PRIVATE","8815 AUBURN VALLEY RD","AUBURN","CA","95603",39.005903,-121.145018,"Non-DAC","86250","5.80790069021935","Not At-Risk","Not Failing","Not At-Risk","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","1.00","0.00","0.00","0.00","NONE","0.33","0.17","0.33","LOW","0.00","0.00","0.00","NONE","0.67","0.33","0.67","LOW","NONE","No history of E. coli presence over the last 3 years","0","0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","NONE","No violation over the last three years","0","0","NONE","No Failing list occurrence over the last 3 years","0.0","0.0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","NONE","Less than 50% sources exceed an MCL","0","0","NONE","2 or more sources","0","0","HIGH","No intertie","1","1","NONE","No source capacity violations; and no Service Connection Moratoriums within the past 3 years","0","0","NONE","No occurrences of bottled/hauled water reliance within the last 3 years","0","0","NONE","Below top 25% of systems most at risk of drought and water shortage","0.00","0.00","NONE","No sources within a Critically Overdrafted Basin","0","0","NONE","Less than 1.5%","0","0.00","NONE","Below 150% of statewide average","0","0.00","NONE","Combined score of 0 - 0.125","0","0.00","HIGH","Less than $0","1","1.00","HIGH","Less than 1","1","1.00","NONE","1 or greater","0","0.00","NONE","No Operator Certification violations over the last three years","0","0.0","NONE","Less than 2 violations","0","0.0","NONE","No Significant Deficiencies over the last three years","0","0.0",0.00,0.00,"State Senate District 1","Region 5 Central Valley (Redding Office)","2025-11-02"
7631,"CA3100014","BAKER RANCH WATER CORP","LPA61 - PLACER COUNTY","PLACER","COMMUNITY",31,150,"PRIVATE","28525 FORESTHILL RD.","FORESTHILL","CA","95631",39.053711,-120.762320,"Non-DAC","79338","10.0734157378812","Not At-Risk","Not Failing","Not At-Risk","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","1.25","0.25","0.08","0.20","LOW","0.33","0.17","0.26","LOW","0.67","0.67","0.54","MEDIUM","0.00","0.00","0.00","NONE","NONE","No history of E. coli presence over the last 3 years","0","0","MEDIUM","25% or more sources meeting the criteria (score range: 0 < n <= 0.5)","0.25","0.50","NONE","No violation over the last three years","0","0","NONE","No Failing list occurrence over the last 3 years","0.0","0.0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","NONE","Less than 50% sources exceed an MCL","0","0","NONE","2 or more sources","0","0","HIGH","No intertie","1","1","NONE","No source capacity violations; and no Service Connection Moratoriums within the past 3 years","0","0","NONE","No occurrences of bottled/hauled water reliance within the last 3 years","0","0","NONE","Below top 25% of systems most at risk of drought and water shortage","0.00","0.00","NONE","No sources within a Critically Overdrafted Basin","0","0","NONE","Less than 1.5%","0","0.00","NONE","Below 150% of statewide average","0","0.00","HIGH","Combined score of 0.625 - 1.0","1","2.00","NONE","Greater than $0","0","0.00","NONE","1 or greater","0","0.00","NONE","1 or greater","0","0.00","NONE","No Operator Certification violations over the last three years","0","0.0","NONE","Less than 2 violations","0","0.0","NONE","No Significant Deficiencies over the last three years","0","0.0",0.00,12413.00,"State Senate District 1","Region 5 Central Valley (Redding Office)","2025-11-02"
7633,"CA3100029","TAHOE CITY PUD - TIMBERLAND","LPA61 - PLACER COUNTY","PLACER","COMMUNITY",138,200,"LOCAL","TIMBERLAND LN","TAHOE CITY","CA","96145",39.127570,-120.167223,"Non-DAC","117500","Missing","Not At-Risk","Not Failing","Not At-Risk","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","0.50","0.00","0.00","0.00","NONE","0.33","0.17","0.66","LOW","0.17","0.17","0.34","LOW","0.00","0.00","0.00","NONE","NONE","No history of E. coli presence over the last 3 years","0","0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","NONE","No violation over the last three years","0","0","NONE","No Failing list occurrence over the last 3 years","0.0","0.0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","NONE","Less than 50% sources exceed an MCL","0","0","NONE","2 or more sources","0","0","HIGH","No intertie","1","1","NONE","No source capacity violations; and no Service Connection Moratoriums within the past 3 years","0","0","NONE","No occurrences of bottled/hauled water reliance within the last 3 years","0","0","Systems not assessed by DWR","Systems not assessed by DWR","Systems not assessed by DWR","Systems not assessed by DWR","NONE","No sources within a Critically Overdrafted Basin","0","0","NONE","Less than 1.5%","0","0.00","MEDIUM","Equal to or greater than 150% AND less than 200% of statewide average","0.5","0.50","NONE","Combined score of 0 - 0.125","0","0.00","NONE","Greater than $0","0","0.00","NONE","1 or greater","0","0.00","NONE","1 or greater","0","0.00","NONE","No Operator Certification violations over the last three years","0","0.0","NONE","Less than 2 violations","0","0.0","NONE","No Significant Deficiencies over the last three years","0","0.0",0.00,0.00,"State Senate District 1","Region 6 Lahontan (South Lake Tahoe Office)","2025-11-02"
7655,"CA3100038","HEATHER GLEN COMMUNITY SERVICE DIST","LPA61 - PLACER COUNTY","PLACER","COMMUNITY",101,250,"PRIVATE","18875 APPLEGATE RD","APPLEGATE","CA","95703",39.014842,-120.981638,"DAC","69375","6.60184485278375","At-Risk","Not Failing","At-Risk","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","4.25","2.00","0.67","0.47","HIGH","1.50","0.75","0.35","HIGH","0.75","0.75","0.18","MEDIUM","0.00","0.00","0.00","NONE","NONE","No history of E. coli presence over the last 3 years","0","0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","NONE","No violation over the last three years","0","0","MEDIUM","1 Failing list occurrence over the last 3 years","0.5","1.0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","HIGH","50% or more sources exceed an MCL","1","3","HIGH","1 source","1","3","HIGH","No intertie","1","1","NONE","No source capacity violations; and no Service Connection Moratoriums within the past 3 years","0","0","NONE","No occurrences of bottled/hauled water reliance within the last 3 years","0","0","LOW","Top 25% of systems most at risk of drought and water shortage","0.25","0.50","NONE","No sources within a Critically Overdrafted Basin","0","0","MEDIUM","1.5% or greater AND less than 2.5%","0.75","2.40","NONE","Below 150% of statewide average","0","0.00","NONE","Combined score of 0 - 0.125","0","0.00","NONE","Greater than $0","0","0.00","NONE","1 or greater","0","0.00","NONE","1 or greater","0","0.00","NONE","No Operator Certification violations over the last three years","0","0.0","NONE","Less than 2 violations","0","0.0","NONE","No Significant Deficiencies over the last three years","0","0.0",597000.00,6025.43,"State Senate District 1","Region 5 Central Valley (Redding Office)","2025-11-02"
7657,"CA3100041","ALPINE MEADOWS PROPERTY OWNERS ASSO","LPA61 - PLACER COUNTY","PLACER","COMMUNITY",129,250,"PRIVATE","115 ALPINE DR","COLFAX","CA","95713",39.145696,-120.902991,"DAC","63750","17.2846520310057","Potentially At-Risk","Not Failing","Potentially At-Risk","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","3.16","0.25","0.08","0.08","LOW","1.33","0.67","0.42","HIGH","1.08","1.08","0.34","HIGH","0.50","0.25","0.16","LOW","NONE","No history of E. coli presence over the last 3 years","0","0","MEDIUM","25% or more sources meeting the criteria (score range: 0 < n <= 0.5)","0.25","0.50","NONE","No violation over the last three years","0","0","NONE","No Failing list occurrence over the last 3 years","0.0","0.0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","NONE","Less than 50% sources exceed an MCL","0","0","HIGH","1 source","1","3","HIGH","No intertie","1","1","NONE","No source capacity violations; and no Service Connection Moratoriums within the past 3 years","0","0","NONE","No occurrences of bottled/hauled water reliance within the last 3 years","0","0","NONE","Below top 25% of systems most at risk of drought and water shortage","0.00","0.00","NONE","No sources within a Critically Overdrafted Basin","0","0","MEDIUM","1.5% or greater AND less than 2.5%","0.75","2.40","NONE","Below 150% of statewide average","0","0.00","MEDIUM","Combined score of 0.25 - 0.5","0.5","1.00","HIGH","Less than $0","1","1.00","NONE","1 or greater","0","0.00","Not Assessed","Not Assessed","0.5","0.50","NONE","No Operator Certification violations over the last three years","0","0.0","NONE","Less than 2 violations","0","0.0","NONE","No Significant Deficiencies over the last three years","0","0.0",0.00,0.00,"State Senate District 1","Region 5 Central Valley (Redding Office)","2025-11-02"
7635,"CA3100043","GOLD HILL MOBILEHOME PARK","LPA61 - PLACER COUNTY","PLACER","COMMUNITY",32,75,"PRIVATE","771 GOLD HILL RD.","NEWCASTLE","CA","95658",38.900693,-121.181507,"Non-DAC","91796","16.0163077745005","Potentially At-Risk","Not Failing","Potentially At-Risk","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","2.67","0.00","0.00","0.00","NONE","2.00","1.00","0.75","HIGH","0.00","0.00","0.00","NONE","0.67","0.33","0.25","LOW","NONE","No history of E. coli presence over the last 3 years","0","0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","NONE","No violation over the last three years","0","0","NONE","No Failing list occurrence over the last 3 years","0.0","0.0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","NONE","Less than 50% sources exceed an MCL","0","0","HIGH","1 source","1","3","HIGH","No intertie","1","1","NONE","No source capacity violations; and no Service Connection Moratoriums within the past 3 years","0","0","NONE","No occurrences of bottled/hauled water reliance within the last 3 years","0","0","HIGH","Top 10% of systems most at risk of drought and water shortage","1.00","2.00","NONE","No sources within a Critically Overdrafted Basin","0","0","NONE","System does not charge customers directly for water","0","0.00","NONE","System does not charge customers directly for water","0","0.00","NONE","Combined score of 0 - 0.125","0","0.00","HIGH","Less than $0","1","1.00","HIGH","Less than 1","1","1.00","NONE","1 or greater","0","0.00","NONE","No Operator Certification violations over the last three years","0","0.0","NONE","Less than 2 violations","0","0.0","NONE","No Significant Deficiencies over the last three years","0","0.0",0.00,0.00,"State Senate District 1","Region 5 Central Valley (Redding Office)","2025-11-02"
7638,"CA3100069","AUBURN RIDGE WOODS","LPA61 - PLACER COUNTY","PLACER","COMMUNITY",54,75,"PRIVATE","14135 MUSSO RD.","AUBURN","CA","95603",38.942663,-121.047846,"DAC","62750","20.1361066331641","Potentially At-Risk","Not Failing","Potentially At-Risk","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","3.00","0.00","0.00","0.00","NONE","2.00","1.00","0.67","HIGH","0.33","0.33","0.11","LOW","0.67","0.33","0.22","LOW","NONE","No history of E. coli presence over the last 3 years","0","0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","NONE","No violation over the last three years","0","0","NONE","No Failing list occurrence over the last 3 years","0.0","0.0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","NONE","Less than 50% sources exceed an MCL","0","0","HIGH","1 source","1","3","HIGH","No intertie","1","1","NONE","No source capacity violations; and no Service Connection Moratoriums within the past 3 years","0","0","NONE","No occurrences of bottled/hauled water reliance within the last 3 years","0","0","HIGH","Top 10% of systems most at risk of drought and water shortage","1.00","2.00","NONE","No sources within a Critically Overdrafted Basin","0","0","NONE","System does not charge customers directly for water","0","0.00","NONE","System does not charge customers directly for water","0","0.00","MEDIUM","Combined score of 0.25 - 0.5","0.5","1.00","HIGH","Less than $0","1","1.00","HIGH","Less than 1","1","1.00","NONE","1 or greater","0","0.00","NONE","No Operator Certification violations over the last three years","0","0.0","NONE","Less than 2 violations","0","0.0","NONE","No Significant Deficiencies over the last three years","0","0.0",0.00,0.00,"State Senate District 1","Region 5 Central Valley (Redding Office)","2025-11-02"
7639,"CA3100072","LIVE OAK WALDORF SCHOOL","LPA61 - PLACER COUNTY","PLACER","NON-TRANSIENT NON-COMMUNITY",1,200,"PRIVATE","410 CROTHER RD.","MEADOW VISTA","CA","95722",39.012176,-120.994592,"DAC","74717","6.65372977966984","Not At-Risk","Not Failing","Not At-Risk","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","NO","N/A","2.33","0.00","0.00","0.00","NONE","1.33","0.67","0.57","HIGH","0.00","0.00","0.00","NONE","1.00","0.50","0.43","MEDIUM","NONE","No history of E. coli presence over the last 3 years","0","0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","NONE","No violation over the last three years","0","0","NONE","No Failing list occurrence over the last 3 years","0.0","0.0","NONE","Less than 25% sources meeting the criteria","0.00","0.00","NONE","Less than 50% sources exceed an MCL","0","0","HIGH","1 source","1","3","HIGH","No intertie","1","1","NONE","No source capacity violations; and no Service Connection Moratoriums within the past 3 years","0","0","NONE","No occurrences of bottled/hauled water reliance within the last 3 years","0","0","NONE","Below top 25% of systems most at risk of drought and water shortage","0.00","0.00","NONE","No sources within a Critically Overdrafted Basin","0","0","NONE","System does not charge customers directly for water","0","0.00","NONE","System does not charge customers directly for water","0","0.00","NONE","Combined score of 0 - 0.125","0","0.00","NONE","Systems serving military bases; NTNC systems that are K-12 schools","0","0.00","NONE","Systems serving military bases; NTNC systems that are K-12 schools","0","0.00","NONE","Systems serving military bases; NTNC systems that are K-12 schools","0","0.00","NONE","No Operator Certification violations over the last three years","0","0.0","NONE","Less than 2 violations","0","0.0","HIGH","1 or more Significant Deficiencies over the last three years","1","3.0",0.00,0.00,"State Senate District 1","Region 5 Central Valley (Redding Office)","2025-11-02"
